2025-08-03 17:05:03 [INFO    ] SQLAgent: === SQL Agent Logger Initialized (Console Output Disabled, ALL Log Levels Captured) ===
2025-08-03 17:05:03 [DEBUG   ] SQLAgent: DEBUG level logging enabled - all detailed information will be captured
2025-08-03 17:05:03 [WARNING ] SQLAgent: WARNING level logging enabled - all warnings will be captured
2025-08-03 17:05:03 [ERROR   ] SQLAgent: ERROR level logging enabled - all errors will be captured
2025-08-03 17:05:03 [CRITICAL] SQLAgent: CRITICAL level logging enabled - all critical issues will be captured
2025-08-03 17:05:25 [INFO    ] SQLAgent: Initializing sql Agent!!!
2025-08-03 17:05:25 [INFO    ] SQLAgent: Database connection established: sqlite:///test.db
2025-08-03 17:05:25 [INFO    ] SQLAgent: llm initialized: llama-3.1-8b-instant
2025-08-03 17:05:25 [INFO    ] SQLAgent: Setting up tools....
2025-08-03 17:05:25 [INFO    ] SQLAgent: SQLDatabaseToolkit initialized.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Extracted 4 tools from the toolkit.
2025-08-03 17:05:25 [INFO    ] SQLAgent: List tables tool initialized.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Get schema tool initialized.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Setting up prompts for SQL Agent...
2025-08-03 17:05:25 [INFO    ] SQLAgent: Query generation prompt compelted.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Setting up query checking prompt...
2025-08-03 17:05:25 [INFO    ] SQLAgent: Query checking prompt compelted.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Building the LangGraph workflow...
2025-08-03 17:05:25 [INFO    ] SQLAgent: Adding nodes....
2025-08-03 17:05:25 [INFO    ] SQLAgent: First tool call node added!!
2025-08-03 17:05:25 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:05:25 [INFO    ] SQLAgent: List tables tool node added.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:05:25 [INFO    ] SQLAgent: Get schema tool node added.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Model get schema node added.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Query generation node added.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Model check query node added.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:05:25 [INFO    ] SQLAgent: Execute query node added.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Adding edges to the workflow...
2025-08-03 17:05:25 [INFO    ] SQLAgent: Edge: START → first_tool_call
2025-08-03 17:05:25 [INFO    ] SQLAgent: Edge: first_tool_call → list_tables_tool
2025-08-03 17:05:25 [INFO    ] SQLAgent: Edge: List tables tool -> model get schema edge added.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Edge: model get schema -> get schema tool edge added.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Edge: Get schema tool -> query generation edge added.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Edge: Conditional edges for query generation added.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Edge: Correct query -> execute query edge added.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Edge: Execute query -> query generation edge added.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Compiling the workflow !!!!
2025-08-03 17:05:25 [INFO    ] SQLAgent: Workflow compiled successfully !!!!
2025-08-03 17:05:25 [INFO    ] SQLAgent: Setup completed!
2025-08-03 17:05:25 [INFO    ] SQLAgent: Received query: How many users are there in the database? What are their names and ages?
2025-08-03 17:05:25 [INFO    ] SQLAgent: Executing first tool call to list database tables.
2025-08-03 17:05:25 [INFO    ] SQLAgent: Retrieving database schema information.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Initializing sql Agent!!!
2025-08-03 17:09:02 [INFO    ] SQLAgent: Database connection established: sqlite:///test.db
2025-08-03 17:09:02 [INFO    ] SQLAgent: llm initialized: llama-3.1-8b-instant
2025-08-03 17:09:02 [INFO    ] SQLAgent: Setting up tools....
2025-08-03 17:09:02 [INFO    ] SQLAgent: SQLDatabaseToolkit initialized.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Extracted 4 tools from the toolkit.
2025-08-03 17:09:02 [INFO    ] SQLAgent: List tables tool initialized.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Get schema tool initialized.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Setting up prompts for SQL Agent...
2025-08-03 17:09:02 [INFO    ] SQLAgent: Query generation prompt compelted.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Setting up query checking prompt...
2025-08-03 17:09:02 [INFO    ] SQLAgent: Query checking prompt compelted.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Building the LangGraph workflow...
2025-08-03 17:09:02 [INFO    ] SQLAgent: Adding nodes....
2025-08-03 17:09:02 [INFO    ] SQLAgent: First tool call node added!!
2025-08-03 17:09:02 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:09:02 [INFO    ] SQLAgent: List tables tool node added.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:09:02 [INFO    ] SQLAgent: Get schema tool node added.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Model get schema node added.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Query generation node added.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Model check query node added.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Creating tool node with fallback with error handling
2025-08-03 17:09:02 [INFO    ] SQLAgent: Execute query node added.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Adding edges to the workflow...
2025-08-03 17:09:02 [INFO    ] SQLAgent: Edge: START → first_tool_call
2025-08-03 17:09:02 [INFO    ] SQLAgent: Edge: first_tool_call → list_tables_tool
2025-08-03 17:09:02 [INFO    ] SQLAgent: Edge: List tables tool -> model get schema edge added.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Edge: model get schema -> get schema tool edge added.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Edge: Get schema tool -> query generation edge added.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Edge: Conditional edges for query generation added.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Edge: Correct query -> execute query edge added.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Edge: Execute query -> query generation edge added.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Compiling the workflow !!!!
2025-08-03 17:09:02 [INFO    ] SQLAgent: Workflow compiled successfully !!!!
2025-08-03 17:09:02 [INFO    ] SQLAgent: Setup completed!
2025-08-03 17:09:02 [INFO    ] SQLAgent: Received query: How many users are there in the database? What are their names and ages?
2025-08-03 17:09:02 [INFO    ] SQLAgent: Executing first tool call to list database tables.
2025-08-03 17:09:02 [INFO    ] SQLAgent: Retrieving database schema information.
